警察署,番号,事故内容,死者数,負傷者数,路線コード,市区町コード,市区町,発生年月日,発生時間,昼夜間_夜,曜日,天候,路面状態,道路形状,信号機,道路線形,事故類型,年齢(当事者1),年齢(当事者2),当事者種別(当事者1),当事者種別(当事者2),中央分離施設,緯度（北緯）,経度（東経）
垂水,479,負傷,0,1,一般市道,108,神戸市垂水区,20170722,15,昼間_昼,土,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,75歳以上,45～54歳以下,乗用車(軽自動車),乗用車(普通車),中央線(ペイント),34.64519694,135.07716
垂水,491,負傷,0,2,２号,108,神戸市垂水区,20170722,16,昼間_昼,土,曇,乾燥,交差点付近(その他),施設なし,直線(平坦),車両単独,25～34歳以下,不明・単独事故,軽車両(駆動補助機付自転車),物件等,中央線(ペイント),34.62830806,135.0509461
神戸水上,115,負傷,0,1,浜手幹線,110,神戸市中央区,20170722,17,昼間_昼,土,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.69323389,135.2034519
神戸西,875,負傷,0,2,１７５号,111,神戸市西区,20170722,1,夜間_夜,土,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),人対車両,35～44歳以下,0～24歳以下,歩行者,二輪車(原付二種),中央分離なし,34.66376889,134.97869
神戸西,878,負傷,0,1,一般市道,111,神戸市西区,20170722,10,昼間_昼,土,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,65～74歳以下,乗用車(軽自動車),二輪車(原付自転車),中央線(ペイント),34.679595,134.9823881
神戸西,894,負傷,0,1,一般交通の場所,111,神戸市西区,20170722,17,昼間_昼,土,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,35～44歳以下,45～54歳以下,乗用車(軽自動車),乗用車(普通車),一般交通の場所,34.66846389,135.02671
神戸西,895,負傷,0,2,六分一神出線,111,神戸市西区,20170722,12,昼間_昼,土,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,55～64歳以下,35～44歳以下,乗用車(軽自動車),乗用車(普通車),中央分離なし,34.74536,134.9870411
東灘,398,負傷,0,1,一般市道,101,神戸市東灘区,20170723,8,昼間_昼,日,曇,乾燥,交差点付近(その他),施設なし,直線(平坦),人対車両,45～54歳以下,0～24歳以下,貨物車(軽自動車),歩行者,中央線(ペイント),34.71052,135.2539761
生田,269,負傷,0,1,中央幹線,110,神戸市中央区,20170723,13,昼間_昼,日,曇,乾燥,交差点付近(その他),施設なし,直線(平坦),車両単独,75歳以上,不明・単独事故,二輪車(軽二輪),物件等,中央分離帯,34.68568167,135.1811903
生田,270,負傷,0,1,山手幹線（神戸市）,110,神戸市中央区,20170723,14,昼間_昼,日,曇,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,35～44歳以下,65～74歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.69626,135.19067
長田,269,負傷,0,1,一般市道,106,神戸市長田区,20170723,8,昼間_昼,日,曇,乾燥,単路(その他),施設なし,直線(下り),人対車両,65～74歳以下,0～24歳以下,二輪車(原付二種),歩行者,中央分離なし,34.68891611,135.1305669
長田,270,負傷,0,1,一般市道,106,神戸市長田区,20170723,12,昼間_昼,日,曇,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,25～34歳以下,35～44歳以下,乗用車(軽自動車),乗用車(普通車),中央分離なし,34.66353611,135.1477781
須磨,299,負傷,0,1,２号,107,神戸市須磨区,20170723,8,昼間_昼,日,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,65～74歳以下,0～24歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.64573889,135.1317161
垂水,477,負傷,0,1,２号,108,神戸市垂水区,20170723,0,夜間_夜,日,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,25～34歳以下,0～24歳以下,乗用車(普通車),二輪車(軽二輪),中央分離なし,34.62843611,135.0517961
垂水,478,負傷,0,1,一般市道,108,神戸市垂水区,20170723,11,昼間_昼,日,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,25～34歳以下,45～54歳以下,軽車両(自転車),乗用車(軽自動車),中央線(ペイント),34.6370725,135.0302486
垂水,481,負傷,0,1,一般市道,108,神戸市垂水区,20170723,14,昼間_昼,日,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,65～74歳以下,25～34歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.67010472,135.0489014
垂水,482,負傷,0,3,２号,108,神戸市垂水区,20170723,22,夜間_夜,日,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,25～34歳以下,0～24歳以下,乗用車(普通車),乗用車(軽自動車),中央線(ペイント),34.64002972,135.0252333
神戸水上,116,負傷,0,1,港湾道,110,神戸市中央区,20170723,17,昼間_昼,日,曇,乾燥,交差点(その他),点灯(３灯式),直線(平坦),人対車両,不明・単独事故,0～24歳以下,対象外当事者,歩行者,中央分離なし,34.68448889,135.18597
神戸西,882,負傷,0,2,一般市道,111,神戸市西区,20170723,18,昼間_暮,日,晴,乾燥,交差点(その他),施設なし,カーブ・屈折(右・平坦),車両相互,35～44歳以下,35～44歳以下,二輪車(原付二種),二輪車(原付二種),中央線(ペイント),34.72622389,134.9570381
神戸西,883,負傷,0,1,一般市道,111,神戸市西区,20170723,15,昼間_昼,日,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,0～24歳以下,25～34歳以下,軽車両(自転車),乗用車(普通車),中央分離なし,34.66018389,135.0224389
有馬,263,負傷,0,1,灘三田線,109,神戸市北区,20170723,15,昼間_昼,日,曇,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,35～44歳以下,乗用車(普通車),貨物車(普通車),中央線(ペイント),34.88578389,135.1856631
高速隊,611,負傷,0,1,山陽自動車道,109,神戸市北区,20170724,15,昼間_昼,月,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,45～54歳以下,25～34歳以下,貨物車(普通車),貨物車(普通車),一般交通の場所,34.83137306,135.1544961
高速隊,636,負傷,0,2,第二神明,111,神戸市西区,20170724,17,昼間_昼,月,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,25～34歳以下,45～54歳以下,貨物車(準中型車),貨物車(軽自動車),中央分離帯,34.67929111,135.0065319
葺合,227,負傷,0,2,新神戸停車場線,110,神戸市中央区,20170724,9,昼間_昼,月,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.69922611,135.1940069
葺合,228,負傷,0,1,一般市道,110,神戸市中央区,20170724,11,昼間_昼,月,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,35～44歳以下,55～64歳以下,貨物車(軽自動車),乗用車(ミニカー),中央線(ペイント),34.69522194,135.1948539
生田,271,負傷,0,1,山麓線,110,神戸市中央区,20170724,14,昼間_昼,月,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,0～24歳以下,乗用車(普通車),二輪車(原付自転車),中央分離なし,34.69357,135.1787739
生田,272,負傷,0,1,山麓線,110,神戸市中央区,20170724,16,昼間_昼,月,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),人対車両,55～64歳以下,0～24歳以下,乗用車(軽自動車),歩行者,中央分離なし,34.69761194,135.1860819
生田,273,負傷,0,1,山手幹線（神戸市）,110,神戸市中央区,20170724,21,夜間_夜,月,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,55～64歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.69665694,135.1913911
兵庫,412,負傷,0,2,一般市道,105,神戸市兵庫区,20170724,14,昼間_昼,月,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,0～24歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.66631111,135.169135
長田,271,負傷,0,1,一般市道,106,神戸市長田区,20170724,17,昼間_昼,月,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,65～74歳以下,35～44歳以下,乗用車(普通車),二輪車(原付二種),中央線(ペイント),34.64899306,135.1435089
垂水,483,負傷,0,3,平野舞子停車場線,108,神戸市垂水区,20170724,11,昼間_昼,月,曇,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,25～34歳以下,45～54歳以下,乗用車(軽自動車),貨物車(軽自動車),中央分離なし,34.65722111,135.0314431
神戸水上,117,負傷,0,1,港湾道,110,神戸市中央区,20170724,8,昼間_昼,月,曇,乾燥,単路(橋),施設なし,直線(平坦),車両相互,25～34歳以下,25～34歳以下,軽車両(自転車),軽車両(自転車),中央分離帯,34.67472889,135.2078761
神戸西,884,負傷,0,2,西神中央線,111,神戸市西区,20170724,9,昼間_昼,月,曇,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,65～74歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.68344694,135.049895
神戸西,886,負傷,0,2,神戸明石線,111,神戸市西区,20170724,13,昼間_昼,月,晴,乾燥,単路(その他),施設なし,直線(上り),車両相互,25～34歳以下,55～64歳以下,貨物車(準中型車),二輪車(原付自転車),中央線(ペイント),34.66361194,135.0148531
神戸西,887,負傷,0,1,神戸明石線,111,神戸市西区,20170724,13,昼間_昼,月,晴,乾燥,単路(その他),施設なし,直線(上り),車両相互,35～44歳以下,55～64歳以下,貨物車(普通車),貨物車(軽自動車),中央線(ペイント),34.66269694,135.0208961
神戸西,888,負傷,0,1,１７５号,111,神戸市西区,20170724,14,昼間_昼,月,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,35～44歳以下,45～54歳以下,乗用車(普通車),軽車両(自転車),中央分離帯,34.70004111,134.9829819
有馬,265,負傷,0,1,一般市道,109,神戸市北区,20170724,12,昼間_昼,月,晴,乾燥,交差点(その他),点灯(３灯式),直線(下り),車両相互,35～44歳以下,0～24歳以下,乗用車(軽自動車),軽車両(自転車),中央分離なし,34.85771389,135.2193661
高速隊,615,死亡,1,3,阪神高速神戸西宮,101,神戸市東灘区,20170725,1,夜間_夜,火,晴,乾燥,単路(橋),施設なし,直線(上り),車両単独,45～54歳以下,不明・単独事故,貨物車(中型車),物件等,中央分離帯,34.72471806,135.3007119
東灘,400,負傷,0,2,４３号,101,神戸市東灘区,20170725,16,昼間_昼,火,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,35～44歳以下,35～44歳以下,乗用車(普通車),軽車両(駆動補助機付自転車),中央分離帯,34.71132111,135.2574469
東灘,401,負傷,0,1,一般市道,101,神戸市東灘区,20170725,16,昼間_昼,火,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,55～64歳以下,0～24歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.72556944,135.2729975
生田,274,負傷,0,1,山手幹線（神戸市）,110,神戸市中央区,20170725,13,昼間_昼,火,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,65～74歳以下,貨物車(普通車),貨物車(軽自動車),中央分離帯,34.68391111,135.1738989
長田,272,負傷,0,1,一般市道,106,神戸市長田区,20170725,14,昼間_昼,火,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,35～44歳以下,35～44歳以下,貨物車(普通車),軽車両(自転車),中央分離なし,34.65828806,135.149695
垂水,484,負傷,0,1,平野舞子停車場線,108,神戸市垂水区,20170725,9,昼間_昼,火,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,65～74歳以下,55～64歳以下,乗用車(軽自動車),乗用車(軽自動車),中央線(ペイント),34.66314194,135.03582
垂水,485,負傷,0,2,２号,108,神戸市垂水区,20170725,16,昼間_昼,火,晴,乾燥,単路(トンネル),施設なし,直線(下り),車両相互,35～44歳以下,25～34歳以下,貨物車(普通車),乗用車(普通車),中央線(ペイント),34.63178306,135.0346581
神戸水上,118,負傷,0,2,一般市道,110,神戸市中央区,20170725,11,昼間_昼,火,曇,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,0～24歳以下,25～34歳以下,乗用車(軽自動車),乗用車(普通車),中央分離帯,34.69219306,135.2044611
神戸水上,119,負傷,0,1,２号,110,神戸市中央区,20170725,9,昼間_昼,火,曇,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,75歳以上,貨物車(大型車),軽車両(自転車),中央分離なし,34.68631694,135.1982369
神戸西,889,負傷,0,1,一般市道,111,神戸市西区,20170725,9,昼間_昼,火,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,55～64歳以下,35～44歳以下,貨物車(中型車),乗用車(普通車),中央線(ペイント),34.6812125,134.9844572
神戸西,890,負傷,0,1,一般市道,111,神戸市西区,20170725,7,昼間_昼,火,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,55～64歳以下,35～44歳以下,乗用車(普通車),乗用車(軽自動車),中央分離なし,34.71327194,134.9300781
有馬,266,負傷,0,1,神戸三田線,109,神戸市北区,20170725,6,昼間_昼,火,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,45～54歳以下,25～34歳以下,乗用車(普通車),二輪車(原付二種),中央線(ペイント),34.84495194,135.2300281
有馬,283,負傷,0,1,１７６号,109,神戸市北区,20170725,16,昼間_昼,火,曇,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,75歳以上,65～74歳以下,乗用車(軽自動車),乗用車(軽自動車),中央分離なし,34.86584806,135.2302889
東灘,402,負傷,0,2,４３号,101,神戸市東灘区,20170726,12,昼間_昼,水,晴,乾燥,単路(その他),施設なし,直線(下り),車両相互,45～54歳以下,35～44歳以下,貨物車(中型車),乗用車(普通車),中央分離帯,34.71104806,135.2679889
東灘,403,負傷,0,1,一般市道,101,神戸市東灘区,20170726,14,昼間_昼,水,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,0～24歳以下,45～54歳以下,軽車両(自転車),貨物車(普通車),中央線(ペイント),34.72707333,135.2927258
東灘,404,負傷,0,1,一般市道,101,神戸市東灘区,20170726,14,昼間_昼,水,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,55～64歳以下,35～44歳以下,二輪車(原付二種),二輪車(原付二種),中央線(ペイント),34.72405,135.2914981
東灘,405,負傷,0,1,４３号,101,神戸市東灘区,20170726,17,昼間_昼,水,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),人対車両,65～74歳以下,55～64歳以下,貨物車(軽自動車),歩行者,中央分離なし,34.71201194,135.2730119
東灘,406,負傷,0,1,山手幹線（神戸市）,101,神戸市東灘区,20170726,18,昼間_暮,水,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,45～54歳以下,55～64歳以下,貨物車(普通車),貨物車(軽自動車),中央分離帯,34.72552389,135.2686889
葺合,258,負傷,0,1,２号,110,神戸市中央区,20170726,9,昼間_昼,水,曇,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,25～34歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.70002694,135.2105739
生田,291,負傷,0,1,山手幹線（神戸市）,110,神戸市中央区,20170726,14,昼間_昼,水,晴,乾燥,単路(その他),施設なし,直線(平坦),人対車両,25～34歳以下,25～34歳以下,乗用車(軽自動車),歩行者,中央分離帯,34.68918,135.1801669
兵庫,378,負傷,0,1,山麓線,105,神戸市兵庫区,20170726,12,昼間_昼,水,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,45～54歳以下,45～54歳以下,乗用車(軽自動車),乗用車(軽自動車),中央線(ペイント),34.69068111,135.1680189
長田,274,負傷,0,1,一般市道,106,神戸市長田区,20170726,8,昼間_昼,水,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,0～24歳以下,25～34歳以下,乗用車(軽自動車),軽車両(自転車),中央分離なし,34.67059611,135.1569161
垂水,544,負傷,0,1,２号,108,神戸市垂水区,20170726,0,夜間_夜,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,不明・単独事故,35～44歳以下,対象外当事者,乗用車(軽自動車),中央線(ペイント),34.63732611,135.0295189
神戸西,892,負傷,0,1,小部明石線,111,神戸市西区,20170726,9,昼間_昼,水,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,不明・単独事故,45～54歳以下,対象外当事者,二輪車(原付自転車),中央分離なし,34.68940889,134.9987081
神戸西,896,負傷,0,2,一般市道,111,神戸市西区,20170726,12,昼間_昼,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,45～54歳以下,65～74歳以下,乗用車(軽自動車),乗用車(普通車),中央分離なし,34.72071306,134.9279531
神戸西,897,負傷,0,2,神戸明石線,111,神戸市西区,20170726,15,昼間_昼,水,晴,乾燥,交差点(その他),点灯(３灯式),直線(上り),車両相互,45～54歳以下,55～64歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.66768111,134.9860189
神戸西,898,負傷,0,1,一般市道,111,神戸市西区,20170726,16,昼間_昼,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),乗用車(軽自動車),中央線(ペイント),34.67720806,134.9827419
神戸西,960,負傷,0,1,一般市道,111,神戸市西区,20170726,19,昼間_暮,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,35～44歳以下,45～54歳以下,乗用車(普通車),乗用車(軽自動車),中央線(ペイント),34.68469111,135.0213161
神戸北,257,負傷,0,2,一般市道,109,神戸市北区,20170726,8,昼間_昼,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,0～24歳以下,0～24歳以下,乗用車(軽自動車),二輪車(原付自転車),中央分離なし,34.74895889,135.1679281
神戸北,258,負傷,0,2,一般市道,109,神戸市北区,20170726,8,昼間_昼,水,晴,乾燥,単路(橋),施設なし,直線(平坦),車両相互,35～44歳以下,35～44歳以下,乗用車(普通車),乗用車(軽自動車),中央線(ペイント),34.73523694,135.1493011
神戸北,260,負傷,0,1,神戸三田線,109,神戸市北区,20170726,17,昼間_昼,水,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,45～54歳以下,35～44歳以下,乗用車(普通車),二輪車(251cc以上),中央分離なし,34.76108889,135.1646411
神戸北,261,負傷,0,1,神戸三田線,109,神戸市北区,20170726,18,昼間_暮,水,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,65～74歳以下,25～34歳以下,乗用車(軽自動車),二輪車(原付二種),中央線(ペイント),34.76379111,135.1757481
高速隊,635,負傷,0,2,第二神明,107,神戸市須磨区,20170727,11,昼間_昼,木,晴,乾燥,単路(橋),施設なし,直線(平坦),車両相互,35～44歳以下,35～44歳以下,貨物車(大型車),貨物車(軽自動車),中央分離帯,34.65398194,135.1186269
東灘,407,負傷,0,3,山手幹線（神戸市）,101,神戸市東灘区,20170727,15,昼間_昼,木,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,75歳以上,35～44歳以下,乗用車(軽自動車),乗用車(普通車),中央分離なし,34.72776111,135.278355
東灘,408,負傷,0,1,一般市道,101,神戸市東灘区,20170727,17,昼間_昼,木,晴,乾燥,交差点付近(その他),施設なし,直線(上り),人対車両,0～24歳以下,55～64歳以下,歩行者,乗用車(普通車),中央線(ペイント),34.7231375,135.2596267
葺合,229,負傷,0,1,２号,110,神戸市中央区,20170727,0,夜間_夜,木,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両単独,35～44歳以下,不明・単独事故,二輪車(軽二輪),物件等,中央分離帯,34.69632889,135.2018589
葺合,230,負傷,0,1,一般市道,110,神戸市中央区,20170727,8,昼間_昼,木,晴,乾燥,単路(その他),施設なし,直線(平坦),人対車両,65～74歳以下,45～54歳以下,貨物車(中型車),歩行者,中央線(ペイント),34.71119639,135.2100544
生田,275,負傷,0,1,一般市道,110,神戸市中央区,20170727,11,昼間_昼,木,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,65～74歳以下,35～44歳以下,軽車両(自転車),二輪車(軽二輪),中央線(ペイント),34.67787472,135.1813881
兵庫,379,負傷,0,1,夢野白川線,105,神戸市兵庫区,20170727,13,昼間_昼,木,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,35～44歳以下,55～64歳以下,乗用車(普通車),貨物車(準中型車),中央分離帯,34.680525,135.1527439
兵庫,380,負傷,0,1,一般市道,105,神戸市兵庫区,20170727,14,昼間_昼,木,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,35～44歳以下,45～54歳以下,貨物車(軽自動車),乗用車(ミニカー),中央分離帯,34.660615,135.1701989
兵庫,475,負傷,0,1,夢野白川線,105,神戸市兵庫区,20170727,6,昼間_明,木,晴,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(左・下り),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.681695,135.1521269
須磨,310,負傷,0,1,一般交通の場所,107,神戸市須磨区,20170727,12,昼間_昼,木,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,25～34歳以下,55～64歳以下,乗用車(普通車),乗用車(軽自動車),一般交通の場所,34.68932694,135.1095089
垂水,486,負傷,0,1,長坂垂水線,108,神戸市垂水区,20170727,7,昼間_昼,木,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,45～54歳以下,25～34歳以下,乗用車(普通車),二輪車(軽二輪),中央分離なし,34.65049944,135.0677408
垂水,487,負傷,0,1,一般市道,108,神戸市垂水区,20170727,9,昼間_昼,木,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,65～74歳以下,35～44歳以下,乗用車(普通車),二輪車(原付自転車),中央線(ペイント),34.633865,135.0696569
垂水,488,負傷,0,1,長坂垂水線,108,神戸市垂水区,20170727,10,昼間_昼,木,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,55～64歳以下,45～54歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.65039389,135.0677989
垂水,489,負傷,0,1,一般交通の場所,108,神戸市垂水区,20170727,11,昼間_昼,木,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,55～64歳以下,0～24歳以下,二輪車(原付自転車),軽車両(自転車),一般交通の場所,34.63962694,135.03883
神戸水上,120,負傷,0,1,神戸港港湾幹線,110,神戸市中央区,20170727,4,夜間_夜間_明,木,晴,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(左・平坦),車両相互,不明・単独事故,35～44歳以下,対象外当事者,乗用車(普通車),中央分離なし,34.68544333,135.2000931
神戸西,899,負傷,0,1,一般市道,111,神戸市西区,20170727,7,昼間_昼,木,晴,乾燥,単路(橋),施設なし,直線(平坦),車両相互,45～54歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.70012889,134.9728381
神戸西,901,負傷,0,1,一般市道,111,神戸市西区,20170727,13,昼間_昼,木,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,55～64歳以下,0～24歳以下,貨物車(普通車),軽車両(自転車),中央分離なし,34.696285,134.9886619
神戸西,902,負傷,0,1,一般市道,111,神戸市西区,20170727,13,昼間_昼,木,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),人対車両,75歳以上,0～24歳以下,乗用車(普通車),歩行者,中央分離なし,34.68465,135.05801
神戸西,903,負傷,0,1,野村明石線,111,神戸市西区,20170727,20,夜間_夜,木,晴,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(右・平坦),車両相互,65～74歳以下,45～54歳以下,乗用車(普通車),乗用車(軽自動車),中央線(ペイント),34.69961889,134.97223
神戸西,939,負傷,0,1,神戸明石線,111,神戸市西区,20170727,17,昼間_昼,木,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,65～74歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.66632194,134.9954261
神戸北,262,負傷,0,1,長田箕谷線,109,神戸市北区,20170727,7,昼間_昼,木,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,65～74歳以下,貨物車(軽自動車),二輪車(原付自転車),中央分離帯,34.75564889,135.1496289
高速隊,637,負傷,0,1,阪神高速神戸西宮,107,神戸市須磨区,20170728,14,昼間_昼,金,晴,乾燥,単路(橋),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),貨物車(普通車),中央分離帯,34.64677611,135.1334439
高速隊,692,負傷,0,2,中国縦貫自動車道,109,神戸市北区,20170728,17,昼間_昼,金,雨,湿潤,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,45～54歳以下,貨物車(普通車),貨物車(普通車),中央分離帯,34.84504,135.2257839
東灘,410,負傷,0,1,山手幹線（神戸市）,101,神戸市東灘区,20170728,14,昼間_昼,金,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,0～24歳以下,55～64歳以下,乗用車(普通車),二輪車(原付自転車),中央線(ペイント),34.72730389,135.2765317
東灘,411,負傷,0,1,一般市道,101,神戸市東灘区,20170728,19,夜間_暮,金,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,65～74歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.69131111,135.2690431
灘,245,負傷,0,1,２号,102,神戸市灘区,20170728,11,昼間_昼,金,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,35～44歳以下,乗用車(普通車),貨物車(軽自動車),中央分離帯,34.703555,135.22296
葺合,231,負傷,0,1,山手幹線（神戸市）,110,神戸市中央区,20170728,15,昼間_昼,金,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,55～64歳以下,0～24歳以下,貨物車(大型車),軽車両(自転車),中央分離なし,34.70070389,135.1991347
葺合,232,負傷,0,1,一般市道,110,神戸市中央区,20170728,14,昼間_昼,金,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,55～64歳以下,不明・単独事故,二輪車(原付自転車),対象外当事者,中央分離なし,34.70186806,135.1986481
兵庫,381,死亡,1,0,２号,105,神戸市兵庫区,20170728,8,昼間_昼,金,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両単独,65～74歳以下,不明・単独事故,乗用車(普通車),物件等,中央分離帯,34.66243306,135.1597231
兵庫,382,負傷,0,1,山麓線,105,神戸市兵庫区,20170728,14,昼間_昼,金,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,75歳以上,0～24歳以下,乗用車(軽自動車),軽車両(自転車),中央分離なし,34.69085806,135.1688731
長田,276,負傷,0,1,２号,106,神戸市長田区,20170728,10,昼間_昼,金,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,25～34歳以下,75歳以上,軽車両(自転車),軽車両(自転車),中央分離なし,34.65928194,135.1553781
長田,277,負傷,0,1,長田線,106,神戸市長田区,20170728,17,昼間_昼,金,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),人対車両,65～74歳以下,65～74歳以下,二輪車(原付自転車),歩行者,中央分離なし,34.66585806,135.1529969
須磨,301,負傷,0,1,夢野白川線,107,神戸市須磨区,20170728,9,昼間_昼,金,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,45～54歳以下,25～34歳以下,乗用車(普通車),貨物車(普通車),中央分離帯,34.68687306,135.1006589
須磨,302,負傷,0,1,夢野白川線,107,神戸市須磨区,20170728,12,昼間_昼,金,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,45～54歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.68947194,135.1076019
